2022年-05月-09日 12:57:44.129 INFO  [restartedMain] c.n.d.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022年-05月-09日 12:57:44.138 INFO  [restartedMain] c.n.d.DiscoveryClient - Discovery Client initialized at timestamp 1652072264136 with initial instances count: 3
2022年-05月-09日 12:57:44.141 INFO  [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry - Registering application PROVIDER-USER with eureka with status UP
2022年-05月-09日 12:57:44.142 INFO  [restartedMain] c.n.d.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1652072264142, current=UP, previous=STARTING]
2022年-05月-09日 12:57:44.148 INFO  [DiscoveryClient-InstanceInfoReplicator-0] c.n.d.DiscoveryClient - DiscoveryClient_PROVIDER-USER/provider-user: registering service...
2022年-05月-09日 12:57:44.234 INFO  [DiscoveryClient-InstanceInfoReplicator-0] c.n.d.DiscoveryClient - DiscoveryClient_PROVIDER-USER/provider-user - registration status: 204
2022年-05月-09日 12:57:44.307 INFO  [restartedMain] c.a.d.p.DruidDataSource - {dataSource-1} inited
2022年-05月-09日 12:57:45.733 INFO  [restartedMain] n.m.s.i.ContextRefreshedListener - 正在注入ActionPower数据!
2022年-05月-09日 12:57:45.823 INFO  [restartedMain] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2022年-05月-09日 12:57:45.826 INFO  [restartedMain] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8081
2022年-05月-09日 12:57:49.045 INFO  [restartedMain] n.m.s.ProviderUserApplication - Started ProviderUserApplication in 57.57 seconds (JVM running for 71.712)
2022年-05月-09日 12:57:49.854 INFO  [RMI TCP Connection(3)-192.168.160.1] o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://WESSI:8005/
2022年-05月-09日 12:57:59.203 INFO  [RMI TCP Connection(3)-192.168.160.1] o.s.c.c.c.ConfigServicePropertySourceLocator - Located environment: name=provider-user, profiles=[dev], label=config, version=322cf6b68075679cb98d2284c908d02848c8ef6c, state=null
2022年-05月-09日 12:57:59.536 INFO  [RMI TCP Connection(5)-192.168.160.1] o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022年-05月-09日 12:57:59.537 INFO  [RMI TCP Connection(5)-192.168.160.1] o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022年-05月-09日 12:57:59.560 INFO  [RMI TCP Connection(5)-192.168.160.1] o.s.w.s.DispatcherServlet - Completed initialization in 23 ms
2022年-05月-09日 13:00:54.968 ERROR [http-nio-8081-exec-1] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 189207
2022年-05月-09日 13:02:43.807 INFO  [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 13:03:24.084 ERROR [http-nio-8081-exec-3] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 148307
2022年-05月-09日 13:07:43.823 INFO  [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 13:09:06.855 ERROR [http-nio-8081-exec-6] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 342443
